"","min_connectivity_min","min_connectivity_average","avg_connectivity_min","avg_connectivity_average","n_samples","rmse","consistency_location","consistency_angles"
"66",0.15,0.194280904158206,0.233333333333333,0.306966991590544,15,0.635410140374942,0.856539645681862,0.825148116649816
"67",0,0.05,0.1,0.332026483890061,15,0.648919569991803,0.847736502110287,0.803537234864828
"68",0,0,0,0.00525834893826585,15,0.265993117687832,0.938908945723093,0.902446986274742
"69",0,0.0166666666666667,0.0666666666666667,0.12858753397367,15,0.705192470664971,0.824565451872877,0.828424434762309
"70",0,0,0.183333333333333,0.271846097134977,15,0.476033009315499,0.876383100368672,0.806496479344724
"71",0,0.0166666666666667,0.15,0.209527120886561,15,0.172757545131992,0.857646930646296,0.841764022291429
"72",0,0.0029142135623731,0.0666666666666667,0.0921646818132335,15,0.617999265130128,0.920568873776698,0.857689650660047
"73",0,0.00793265299037757,0.1,0.188102965378838,15,0.4780217874021,0.861085438845109,0.831551926140167
"74",0,0.0549016676389814,0.1,0.236358056692539,15,0.554516035156064,0.888581449908984,0.815046602473193
"75",0,0.0222222222222222,0.383333333333333,0.454213896955355,15,0.264935033357232,0.839767223793503,0.800759817190724
"76",0,0.285842168936161,0.316666666666667,0.425086895050567,15,0.548814652147576,0.825558570466132,0.807096611514499
"77",0,0.0111111111111111,0.0333333333333334,0.0950048471611445,15,0.357534982065728,0.907099127963377,0.850809329603359
"78",0,0.00487980393428492,0.0166666666666667,0.0413381584480931,15,0.450117372500049,0.905653466322055,0.898528401124384
"79",0,0.0111111111111111,0.166666666666667,0.2425519743576,15,0.733886585913031,0.865493185026318,0.823847190908902
"80",0,0.0728553390593274,0.0333333333333334,0.0773652191698624,15,0.544918200071144,0.875096074358358,0.861392078228588
"81",0,0.05,0.0333333333333334,0.115911798696791,15,0.26998825836144,0.89287069393539,0.864388910838807
"82",0,0.063198484809835,0.116666666666667,0.222570748894259,15,0.441856046202179,0.865050582805894,0.827940233781454
"83",0,0.032,0.183333333333333,0.237682273245095,15,0.313068324013178,0.901534568155226,0.862131865473716
"84",0.1,0.145929575402948,0.183333333333333,0.267986983643354,15,0.421820544314819,0.863644027013819,0.817484732457155
"85",0,0.0035,0.15,0.284455128792667,15,0.620286035088034,0.89621627000738,0.832808032962782
"86",0,0.0111111111111111,0.0333333333333334,0.0499670352039953,15,0.427559321932473,0.908647307888344,0.875318448741378
"87",0,0.0333333333333333,0.15,0.259836329629348,15,0.362419108357927,0.849972684449849,0.790220884607367
"88",0,0,0.05,0.0772804541894069,15,0.394483433621448,0.924070822010551,0.869838897438223
