"","min_connectivity_min","min_connectivity_average","avg_connectivity_min","avg_connectivity_average","n_samples","rmse","consistency_location","consistency_angles"
"54",0,0.179470958015173,0.025,0.224802831047216,15,0.349436773826805,0.820724512081409,0.791075762726711
"55",0.05,0.274001158007451,0.225,0.455773333748404,15,0.311967424115645,0.816098084857923,0.774498187567479
"56",0.05,0.0698547113604816,0.1,0.124266764212371,15,0.168001762580404,0.873265702146258,0.855554019864107
"57",0,0.127408455914324,0.1,0.260689701133347,15,0.331236883448256,0.802668761989076,0.770481648383024
"58",0.2,0.314545735177491,0.225,0.367458793576592,15,0.365112593272663,0.828465232492351,0.792639148244738
"59",0.1,0.213414099326439,0.15,0.24160691972357,15,0.258276531154508,0.841719815203795,0.798217731154176
"60",0.05,0.191590336783992,0.075,0.2009605245402,15,0.361615679348597,0.816696371087093,0.797618151995027
"61",0,0.108268199491535,0.05,0.118719690767722,15,0.245186892830002,0.885648334595288,0.839284645257169
"62",0.05,0.143210275970571,0.075,0.170749635630618,15,0.210317642817334,0.861832401846411,0.810389948127512
"63",0,0.0529876177111546,0.15,0.195112564025805,15,0.359899856685952,0.862267604055648,0.823665764369314
"64",0.15,0.252843346889221,0.25,0.334186828451706,15,0.292850787531413,0.788301994456786,0.792272171532325
"65",0,0.0497602217517846,0,0.094024088638544,15,0.220947715710878,0.852175525210773,0.810275528565253
"66",0,0.0527508678798484,0.05,0.174163284941768,15,0.202414262817627,0.84360981163859,0.799186924009216
"67",0.1,0.265296380953324,0.15,0.279444887668833,15,0.270056581558723,0.806469540163859,0.799163372642937
"68",0.2,0.2,0.2,0.286304050577395,15,0.280593375848288,0.830929806331099,0.793714838561573
"69",0,0.0867565939890332,0.025,0.123239180417968,15,0.276191682602637,0.889972951556592,0.828124167984264
"70",0.2,0.263691549515089,0.2,0.313423976113034,15,0.305427042376089,0.787085093176549,0.786272522439122
"71",0,0.0939118949630551,0.05,0.17511666048593,15,0.339030459757195,0.838646440263251,0.802668321734089
"72",0.1,0.271739334050689,0.1,0.32251657030489,15,0.215207237386924,0.822847573427298,0.790401828156432
"73",0.05,0.14190029834321,0.05,0.148440922406313,15,0.408466155419924,0.817064383400154,0.800613993481303
"74",0,0.137017843140561,0.025,0.139580589391233,15,0.155736016584347,0.859296180076549,0.832671719250584
"75",0.25,0.324395351867777,0.25,0.338431910449223,15,0.29414870181015,0.831812579335583,0.805432855469369
"76",0,0.0191891311959042,0,0.0464178581206939,15,0.19235849345899,0.902327098184896,0.857676191657532
"77",0,0.0373435987347554,0,0.0583741051664898,15,0.207833579259427,0.856462146779864,0.818998646193306
"78",0,0.0421561877403969,0,0.129830894685592,15,0.284177353683014,0.851841783288006,0.794288139117331
"79",0.1,0.242409326103022,0.15,0.254062766912825,15,0.179965590158123,0.837814589165117,0.813499135661489
"80",0,0.111191347573417,0.075,0.235800054845285,15,0.387264202712043,0.84277995688686,0.785447697246842
"81",0,0.172947332922732,0.125,0.228928193699705,15,0.174533470751515,0.834796932945817,0.804351964767465
"82",0,0.0367595671770531,0,0.0374974176438721,15,0.12704366865241,0.845297973020684,0.825774515738289
"83",0.3,0.425585587390226,0.3,0.439680809084837,15,0.387443774941854,0.801017562492022,0.785871524276667
"84",0.15,0.194207066546466,0.2,0.291018637007145,15,0.16233514403289,0.827096021017394,0.816631757549309
"85",0,0.00902528713709504,0,0.0177546620512146,15,0.237902414069947,0.871699057326864,0.846419004962642
"86",0.05,0.239980734952917,0.175,0.305639593544037,15,0.21677910046697,0.797237691157917,0.802930104551911
"87",0.05,0.150073457422486,0.35,0.409838108553248,15,0.178534089113272,0.826455610217778,0.811083309921044
"88",0.15,0.282971720152153,0.2,0.294106106651356,15,0.421022254955296,0.781896305467578,0.805030515900992
"89",0,0.0727148015697753,0,0.08826518103566,15,0.189305820768193,0.847340926520935,0.834434270787693
"90",0.05,0.1571483663225,0.2,0.283469425600051,15,0.184993975848699,0.79882498546906,0.803665102680885
"91",0.05,0.256720122458801,0.075,0.278156914585202,15,0.177160298885408,0.839419518552021,0.794650012275771
"92",0.05,0.163370453828088,0.2,0.278942084054242,15,0.282930521299868,0.817841359262246,0.788794442014065
"93",0,0.0705873064992144,0.25,0.321106865111596,15,0.399229253810905,0.799831427784107,0.786519516136649
"94",0,0,0,0.0103631222555877,15,0.0994267094104696,0.906266722669031,0.868337488120351
"95",0.05,0.102240135605725,0.05,0.127143503116431,15,0.192121736604486,0.869902053161294,0.833659015592989
"96",0.05,0.0978952043617368,0.05,0.105138782917614,15,0.202631576450334,0.869564060830659,0.849486323391591
"97",0,0.0560861498998038,0.05,0.0916387793853536,15,0.114744400605255,0.889986236527091,0.853242775438686
"98",0,0.0223774702727192,0.025,0.0698835521098491,15,0.198968596346539,0.884711346717768,0.828766770296322
